MeanRR,SDNN,Label
0.7891,0.037,0
0.7832,0.0329,0
0.7678,0.0369,0
0.7817,0.0505,0
0.7716,0.0472,0
0.791,0.0383,0
0.8048,0.095,0
0.7763,0.7763,0
0.7603,0.0305,0
0.7762,0.0571,0
0.8027,0.0843,0
0.7877,0.1112,0
0.7888,0.0364,0
0.7775,0.0463,0
0.856,0.176,0
0.9175,0.136,0
0.9287,0.1286,0
0.9144,0.1088,0
0.8989,0.0566,0
0.9038,0.1419,0
0.9247,0.2186,0
0.8975,0.1805,0
0.8777,0.164,0
0.9814,0.2061,0
0.8862,0.1392,0
0.2278,0.2278,0
0.8776,0.1766,0
0.9436,0.2082,0
0.9782,0.2251,0
0.9616,0.2073,0
0.9454,0.21,0
0.9798,0.2138,0
0.9588,0.2062,0
0.8814,0.1783,0
0.9263,0.1868,0
0.9409,0.2005,0
0.9403,0.2194,0
0.9324,0.2071,0
0.9211,0.1935,0
0.9801,0.2213,0
0.8855,0.1501,0
0.9275,0.1965,0
0.9791,0.2531,0
0.9133,0.1912,0
0.9644,0.2313,0
0.8735,0.1466,0
0.8522,0.1351,0
0.8766,0.1676,0
0.8479,0.1383,0
0.8198,0.0849,0
0.8852,0.1729,0
0.8852,0.1729,0
0.8477,0.1495,0
0.9792,0.2315,0
0.8466,0.1323,0
0.9322,0.2031,0
0.9326,0.2094,0
0.9653,0.201,0
0.856,0.152,0
0.9026,0.1942,0
0.8928,0.159,0
0.9076,0.1775,0
1.0092,0.5409,0
1.017,0.4397,0
0.99,0.2551,0
0.9224,0.1926,0
0.9461,0.2358,0
0.9514,0.2285,0
0.9297,0.1567,0
0.8805,0.0839,0
0.8281,0.1186,0
0.854,0.1476,0
0.9001,0.0727,0
0.925,0.1153,0
0.9099,0.1056,0
0.8913,0.1744,0
0.8621,0.1246,0
0.8885,0.1164,0
0.9358,0.1946,0
0.9072,0.1502,0
0.917,0.0867,0
0.8932,0.0602,0
0.9346,0.0734,0
0.9189,0.1368,0
0.8473,0.1237,0
0.8608,0.1971,0
0.9659,0.231,0
0.8532,0.1209,0
0.8429,0.1118,0
0.936,0.0983,0
0.9013,0.0633,0
0.9046,0.0753,0
